Symbol,Book,Sector,Conviction,Risk_%,Deploy_₹,CMP,Included,Selection_Note
ONGC,Core,Energy/PSU,66,4.0,4878.8,243.94,True,Included
INDUSINDBK,Core,Banking,66,4.9,4040.0,1010.0,False,Skipped — already 3 positions in Banking (max 3)
HOMEFIRST,Core,Housing Finance/NBFC,66,7.1,4690.0,1172.5,True,Included
FEDERALBNK,Core,Banking,64,3.6,4987.5,356.25,False,Skipped — already 3 positions in Banking (max 3)
ZFCVINDIA,Core,Diversified/Other,64,7.6,2405.9,2405.9,True,Included
GVT&D,Core,Diversified/Other,64,10.0,4053.3,4053.3,False,Skipped — already 3 positions in Diversified/Other (max 3)
JSWSTEEL,Core,Metals & Mining,64,4.0,3829.2,1276.4,False,Skipped — already 3 positions in Metals & Mining (max 3)
POLYCAB,Core,Capital Goods,64,5.1,0.0,8930.0,True,Included
LTFOODS,Core,Consumer/Retail,64,5.1,5014.75,385.75,True,Included
INDIANB,Core,Banking,63,5.3,4966.5,827.75,False,Skipped — already 3 positions in Banking (max 3)
KARURVYSYA,Core,Banking,63,6.0,4771.9,340.85,False,Skipped — already 3 positions in Banking (max 3)
APTUS,Core,Diversified/Other,63,5.8,5004.9,278.05,False,Skipped — already 3 positions in Diversified/Other (max 3)
CANBK,Core,Banking,63,5.2,4974.0,124.35,False,Skipped — already 3 positions in Banking (max 3)
AWL,Core,Diversified/Other,62,5.3,5079.51,188.13,False,Skipped — already 3 positions in Diversified/Other (max 3)
HBLENGINE,Core,Diversified/Other,62,6.2,4909.8,701.4,False,Skipped — already 3 positions in Diversified/Other (max 3)
IPCALAB,Core,Pharma,62,6.1,3550.2,1775.1,True,Included
M&MFIN,Core,Housing Finance/NBFC,62,7.0,4736.4,394.7,False,Skipped — already 3 positions in Housing Finance/NBFC (max 3)
BANKINDIA,Core,Diversified/Other,61,5.7,5081.58,137.34,False,Skipped — already 3 positions in Diversified/Other (max 3)
LODHA,Core,Real Estate,61,6.9,3902.85,1300.95,True,Included
PREMIERENE,Core,Diversified/Other,61,6.4,4017.6,1004.4,False,Skipped — already 3 positions in Diversified/Other (max 3)
AXISBANK,Core,Banking,60,4.3,4899.6,1224.9,False,Skipped — already 3 positions in Banking (max 3)
AIAENG,Core,Capital Goods,60,5.8,0.0,4598.5,True,Included
HDFCBANK,Core,Banking,60,3.9,4482.3,747.05,False,Skipped — already 3 positions in Banking (max 3)
CCL,Core,Consumer/Retail,60,5.7,4782.4,1195.6,True,Included
LTF,Core,Diversified Financials,60,5.9,4897.6,306.1,False,Skipped — already 3 positions in Diversified Financials (max 3)
ITCHOTELS,Core,Diversified/Other,59,6.3,5032.23,162.33,False,Skipped — already 3 positions in Diversified/Other (max 3)
JUBLINGREA,Core,Diversified/Other,59,7.1,4380.3,730.05,False,Skipped — already 3 positions in Diversified/Other (max 3)
IIFL,Core,Capital Markets Infra,59,6.8,4896.8,612.1,True,Included
CAPLIPOINT,Core,Chemicals & Paints,59,7.2,2592.9,2592.9,True,Included
ASHOKLEY,Core,Auto & Ancillaries,58,5.3,5037.12,157.41,False,Skipped — would breach portfolio heat cap (6%)
SCHAEFFLER,Core,Auto & Ancillaries,58,5.2,4143.0,4143.0,True,Included
SOBHA,Core,Real Estate,58,6.6,4074.0,1358.0,False,Skipped — would breach portfolio heat cap (6%)
POONAWALLA,Core,Diversified/Other,58,6.1,4773.5,477.35,False,Skipped — already 3 positions in Diversified/Other (max 3)
CRISIL,Core,Diversified/Other,58,5.3,4422.0,4422.0,False,Skipped — already 3 positions in Diversified/Other (max 3)
ARE&M,Core,Diversified/Other,57,5.3,4449.75,889.95,False,Skipped — already 3 positions in Diversified/Other (max 3)
ATUL,Core,Diversified/Other,57,5.7,0.0,6851.5,False,Skipped — already 3 positions in Diversified/Other (max 3)
TVSMOTOR,Core,Auto & Ancillaries,57,4.7,4168.6,4168.6,False,Skipped — would breach portfolio heat cap (6%)
ADANIENSOL,Core,Renewables/Power,57,6.6,4987.8,1662.6,False,Skipped — would breach portfolio heat cap (6%)
SRF,Core,Chemicals & Paints,57,5.8,2631.2,2631.2,False,Skipped — would breach portfolio heat cap (6%)
ACE,Core,Diversified/Other,56,7.0,4164.0,1041.0,False,Skipped — already 3 positions in Diversified/Other (max 3)
SARDAEN,Core,Diversified/Other,56,5.1,4660.65,517.85,False,Skipped — already 3 positions in Diversified/Other (max 3)
STARHEALTH,Core,Insurance,56,5.8,4836.0,604.5,False,Skipped — would breach portfolio heat cap (6%)
CHALET,Core,Diversified/Other,55,6.1,4815.9,802.65,False,Skipped — already 3 positions in Diversified/Other (max 3)
ERIS,Core,Diversified/Other,55,6.0,4117.5,1372.5,False,Skipped — already 3 positions in Diversified/Other (max 3)
GESHIP,Core,Diversified/Other,55,7.2,4101.0,1367.0,False,Skipped — already 3 positions in Diversified/Other (max 3)
AJANTPHARM,Core,Pharma,55,6.1,3417.0,3417.0,False,Skipped — already 3 positions in Pharma (max 3)
APOLLOHOSP,Core,Hospitals,55,2.9,0.0,8961.0,True,Included
CDSL,Core,Capital Markets Infra,55,4.8,4014.0,1338.0,False,Skipped — would breach portfolio heat cap (6%)
ICICIPRULI,Core,Insurance,55,5.1,4595.4,510.6,False,Skipped — would breach portfolio heat cap (6%)
SBILIFE,Core,Insurance,55,4.1,3803.4,1901.7,False,Skipped — would breach portfolio heat cap (6%)
PAYTM,Core,New-Age Tech,55,6.3,3964.5,1321.5,False,Skipped — would breach portfolio heat cap (6%)
PARADEEP,Core,Diversified/Other,54,7.0,5040.75,152.75,False,Skipped — already 3 positions in Diversified/Other (max 3)
LAURUSLABS,Core,Pharma,54,4.8,3559.0,1779.5,False,Skipped — already 3 positions in Pharma (max 3)
HDBFS,Core,Diversified/Other,54,5.1,4733.05,676.15,False,Skipped — already 3 positions in Diversified/Other (max 3)
HONASA,Core,Consumer/Retail,54,6.4,4921.4,447.4,False,Skipped — would breach portfolio heat cap (6%)
KALYANKJIL,Core,Consumer/Retail,53,7.2,4456.2,636.6,False,Skipped — would breach portfolio heat cap (6%)
FSL,Core,Diversified/Other,53,7.2,4954.31,291.43,False,Skipped — already 3 positions in Diversified/Other (max 3)
IGIL,Core,Diversified/Other,53,6.9,4844.7,346.05,False,Skipped — already 3 positions in Diversified/Other (max 3)
SAGILITY,Core,Diversified/Other,53,6.4,5046.72,45.06,False,Skipped — already 3 positions in Diversified/Other (max 3)
UNIONBANK,Core,Banking,52,5.6,5089.2,169.64,False,Skipped — already 3 positions in Banking (max 3)
MINDACORP,Core,Diversified/Other,52,5.8,4900.35,700.05,False,Skipped — already 3 positions in Diversified/Other (max 3)
OBEROIRLTY,Core,Real Estate,52,5.3,3625.8,1812.9,False,Skipped — would breach portfolio heat cap (6%)
DCMSHRIRAM,Core,Diversified/Other,52,5.8,4211.2,1052.8,False,Skipped — already 3 positions in Diversified/Other (max 3)
SPLPETRO,Core,Diversified/Other,52,7.2,4330.5,721.75,False,Skipped — already 3 positions in Diversified/Other (max 3)
ECLERX,Core,Business/Support Services,52,9.3,3937.8,1968.9,False,Skipped — would breach portfolio heat cap (6%)
USHAMART,Core,Diversified/Other,52,5.6,4569.3,507.7,False,Skipped — already 3 positions in Diversified/Other (max 3)
AADHARHFC,Core,Housing Finance/NBFC,51,5.9,4902.0,490.2,False,Skipped — already 3 positions in Housing Finance/NBFC (max 3)
CGCL,Core,Diversified/Other,51,8.2,4894.78,222.49,False,Skipped — already 3 positions in Diversified/Other (max 3)
NIVABUPA,Core,Insurance,51,4.9,5015.84,86.48,False,Skipped — would breach portfolio heat cap (6%)
OLECTRA,Core,Auto & Ancillaries,51,6.8,3967.5,1322.5,False,Skipped — would breach portfolio heat cap (6%)
ANGELONE,Core,Capital Markets Infra,50,6.9,4784.8,299.05,False,Skipped — would breach portfolio heat cap (6%)
ETERNAL,Core,New-Age Tech,49,6.0,4937.6,308.6,False,Skipped — would breach portfolio heat cap (6%)
RITES,Core,Diversified/Other,49,6.0,5000.2,217.4,False,Skipped — already 3 positions in Diversified/Other (max 3)
BIKAJI,Core,Consumer/Retail,49,4.6,4568.55,652.65,False,Skipped — would breach portfolio heat cap (6%)
GPIL,Core,Metals & Mining,49,6.1,4950.0,247.5,False,Skipped — already 3 positions in Metals & Mining (max 3)
HAL,Core,Defense,49,4.0,0.0,4573.6,True,Included
HUDCO,Core,Logistics & Infra,48,5.8,4930.25,197.21,False,Skipped — would breach portfolio heat cap (6%)
UCOBANK,Core,Diversified/Other,48,4.8,5085.55,26.35,False,Skipped — already 3 positions in Diversified/Other (max 3)
ASAHIINDIA,Core,Auto & Ancillaries,48,5.7,4373.5,874.7,False,Skipped — would breach portfolio heat cap (6%)
BSOFT,Core,Diversified/Other,48,7.3,5022.4,313.9,False,Skipped — already 3 positions in Diversified/Other (max 3)
ICICIBANK,Core,Banking,48,3.4,4284.0,1428.0,False,Skipped — already 3 positions in Banking (max 3)
SHYAMMETL,Core,Metals & Mining,48,5.9,4092.6,1023.15,False,Skipped — already 3 positions in Metals & Mining (max 3)
NYKAA,Core,New-Age Tech,47,4.4,4961.25,330.75,False,Skipped — would breach portfolio heat cap (6%)
BHARTIHEXA,Core,Telecom,47,5.1,4937.4,1645.8,False,Skipped — would breach portfolio heat cap (6%)
WELCORP,Core,Diversified/Other,47,6.4,5016.9,1672.3,False,Skipped — already 3 positions in Diversified/Other (max 3)
ENDURANCE,Core,Auto & Ancillaries,47,5.8,2820.0,2820.0,False,Skipped — would breach portfolio heat cap (6%)
CHOLAHLDNG,Core,Diversified/Other,47,5.8,4538.1,1512.7,False,Skipped — already 3 positions in Diversified/Other (max 3)
CRAFTSMAN,Core,Diversified/Other,47,5.8,0.0,9788.0,False,Skipped — already 3 positions in Diversified/Other (max 3)
NETWEB,Core,Diversified/Other,47,8.5,4265.0,4265.0,False,Skipped — already 3 positions in Diversified/Other (max 3)
ZENSARTECH,Core,IT Services,47,8.6,4783.05,531.45,False,Skipped — would breach portfolio heat cap (6%)
RRKABEL,Core,Diversified/Other,46,8.3,2575.2,2575.2,False,Skipped — already 3 positions in Diversified/Other (max 3)
RAINBOW,Core,Hospitals,46,5.0,4488.0,1496.0,False,Skipped — would breach portfolio heat cap (6%)
GRSE,Core,Logistics & Infra,46,5.5,2589.9,2589.9,False,Skipped — would breach portfolio heat cap (6%)
SYRMA,Core,Diversified/Other,46,8.1,4180.8,1393.6,False,Skipped — already 3 positions in Diversified/Other (max 3)
VIJAYA,Core,Diversified/Other,46,7.1,4120.2,1373.4,False,Skipped — already 3 positions in Diversified/Other (max 3)
BAJAJ-AUTO,Core,Auto & Ancillaries,45,4.1,0.0,11479.5,True,Included
AAVAS,Core,Housing Finance/NBFC,45,6.3,4139.7,1379.9,False,Skipped — already 3 positions in Housing Finance/NBFC (max 3)
COFORGE,Core,IT Services,45,6.5,3494.6,1747.3,False,Skipped — would breach portfolio heat cap (6%)
TITAN,Core,Consumer/Retail,45,3.3,0.0,4848.9,True,Included
ALKEM,Core,Pharma,45,4.2,0.0,5808.5,False,Skipped — already 3 positions in Pharma (max 3)
NH,Core,Hospitals,45,4.6,4156.4,2078.2,False,Skipped — would breach portfolio heat cap (6%)
JUBLFOOD,Core,Consumer/Retail,45,5.3,4783.9,434.9,False,Skipped — already 3 positions in Consumer/Retail (max 3)
ASTERDM,Core,Hospitals,45,5.3,4995.0,832.5,False,Skipped — would breach portfolio heat cap (6%)
SBFC,Core,Housing Finance/NBFC,44,5.2,5098.65,89.45,False,Skipped — already 3 positions in Housing Finance/NBFC (max 3)
NEWGEN,Core,IT Services,44,9.9,5062.05,562.45,False,Skipped — would breach portfolio heat cap (6%)
POWERINDIA,Core,Diversified/Other,44,7.7,0.0,31210.0,False,Skipped — already 3 positions in Diversified/Other (max 3)
CARTRADE,Core,Diversified/Other,44,10.6,2746.4,2746.4,False,Skipped — already 3 positions in Diversified/Other (max 3)
AEGISLOG,Core,Diversified/Other,44,10.6,3839.1,1279.7,False,Skipped — already 3 positions in Diversified/Other (max 3)
IDFCFIRSTB,Core,Banking,43,4.7,5037.0,83.95,False,Skipped — already 3 positions in Banking (max 3)
BPCL,Core,Energy/PSU,43,5.0,4757.25,317.15,False,Skipped — would breach portfolio heat cap (6%)
ANANDRATHI,Core,Capital Markets Infra,43,5.0,4105.0,2052.5,False,Skipped — would breach portfolio heat cap (6%)
ABLBL,Core,Diversified/Other,43,5.6,5055.67,95.39,False,Skipped — already 3 positions in Diversified/Other (max 3)
NESTLEIND,Core,Consumer/Retail,43,4.3,4581.3,1527.1,False,Skipped — already 3 positions in Consumer/Retail (max 3)
GODREJIND,Core,Diversified/Other,42,7.4,3842.1,1280.7,False,Skipped — already 3 positions in Diversified/Other (max 3)
DATAPATTNS,Core,Defense,42,9.3,4387.0,4387.0,False,Skipped — would breach portfolio heat cap (6%)
GRAVITA,Core,Metals & Mining,42,7.4,4888.8,1629.6,False,Skipped — already 3 positions in Metals & Mining (max 3)
COLPAL,Core,Consumer/Retail,42,4.6,4209.6,2104.8,False,Skipped — already 3 positions in Consumer/Retail (max 3)
JKCEMENT,Core,Cement,42,5.8,0.0,5580.0,True,Included
IKS,Core,Diversified/Other,42,6.1,3615.8,1807.9,False,Skipped — already 3 positions in Diversified/Other (max 3)
TECHNOE,Core,Diversified/Other,42,5.8,3908.8,977.2,False,Skipped — already 3 positions in Diversified/Other (max 3)
RAILTEL,Core,Logistics & Infra,41,5.3,4997.15,293.95,False,Skipped — would breach portfolio heat cap (6%)
INDIAMART,Core,Diversified/Other,41,5.8,3479.8,1739.9,False,Skipped — already 3 positions in Diversified/Other (max 3)
INDHOTEL,Core,Diversified/Other,41,4.0,4451.1,741.85,False,Skipped — already 3 positions in Diversified/Other (max 3)
HYUNDAI,Core,Auto & Ancillaries,41,4.8,4004.4,2002.2,False,Skipped — already 3 positions in Auto & Ancillaries (max 3)
MEDANTA,Core,Diversified/Other,41,4.7,4239.6,1413.2,False,Skipped — already 3 positions in Diversified/Other (max 3)
EMCURE,Core,Diversified/Other,41,5.8,3824.2,1912.1,False,Skipped — already 3 positions in Diversified/Other (max 3)
BALKRISIND,Core,Auto & Ancillaries,40,6.2,2271.8,2271.8,False,Skipped — already 3 positions in Auto & Ancillaries (max 3)
IDBI,Core,Diversified/Other,40,6.5,5053.2,84.22,False,Skipped — already 3 positions in Diversified/Other (max 3)
SONACOMS,Core,Auto & Ancillaries,40,5.1,4398.6,733.1,False,Skipped — already 3 positions in Auto & Ancillaries (max 3)
AFFLE,Core,Diversified/Other,39,6.3,4961.4,1653.8,False,Skipped — already 3 positions in Diversified/Other (max 3)
MRPL,Core,Diversified/Other,39,8.9,5039.7,167.99,False,Skipped — already 3 positions in Diversified/Other (max 3)
TATACONSUM,Core,Consumer/Retail,39,4.5,4425.6,1106.4,False,Skipped — already 3 positions in Consumer/Retail (max 3)
UTIAMC,Core,Diversified/Other,39,5.0,4513.75,902.75,False,Skipped — already 3 positions in Diversified/Other (max 3)
HINDPETRO,Core,Energy/PSU,38,5.6,4702.8,391.9,False,Skipped — would breach portfolio heat cap (6%)
PNB,Core,Banking,38,4.0,5017.5,111.5,False,Skipped — already 3 positions in Banking (max 3)
CENTRALBK,Core,Banking,38,4.9,5088.92,31.03,False,Skipped — already 3 positions in Banking (max 3)
CANFINHOME,Core,Housing Finance/NBFC,38,6.0,4912.2,818.7,False,Skipped — already 3 positions in Housing Finance/NBFC (max 3)
KIRLOSENG,Core,Diversified/Other,38,9.9,4251.2,2125.6,False,Skipped — already 3 positions in Diversified/Other (max 3)
HEXT,Core,Diversified/Other,38,8.2,4626.4,578.3,False,Skipped — already 3 positions in Diversified/Other (max 3)
SUPREMEIND,Core,Chemicals & Paints,37,5.8,3482.4,3482.4,False,Skipped — would breach portfolio heat cap (6%)
SCI,Core,Diversified/Other,37,7.2,4987.8,277.1,False,Skipped — already 3 positions in Diversified/Other (max 3)
RKFORGE,Core,Diversified/Other,37,6.0,4431.0,633.0,False,Skipped — already 3 positions in Diversified/Other (max 3)
IRCTC,Core,Diversified/Other,37,3.5,4932.0,493.2,False,Skipped — already 3 positions in Diversified/Other (max 3)
TCS,Core,IT Services,37,5.0,2476.4,2476.4,False,Skipped — would breach portfolio heat cap (6%)
ULTRACEMCO,Core,Cement,37,3.5,0.0,11788.0,True,Included
NLCINDIA,Core,Metals & Mining,37,6.2,4740.0,296.25,False,Skipped — already 3 positions in Metals & Mining (max 3)
HFCL,Core,Telecom,37,11.1,4511.52,187.98,False,Skipped — would breach portfolio heat cap (6%)
JBMA,Core,Auto & Ancillaries,37,5.9,4777.15,682.45,False,Skipped — already 3 positions in Auto & Ancillaries (max 3)
GRAPHITE,Core,Metals & Mining,36,7.1,4700.15,671.45,False,Skipped — already 3 positions in Metals & Mining (max 3)
NTPCGREEN,Core,Diversified/Other,36,5.2,5048.45,91.79,False,Skipped — already 3 positions in Diversified/Other (max 3)
NTPC,Core,Renewables/Power,36,3.6,4817.4,344.1,False,Skipped — would breach portfolio heat cap (6%)
THELEELA,Core,Diversified/Other,36,6.7,4680.5,468.05,False,Skipped — already 3 positions in Diversified/Other (max 3)
GABRIEL,Core,Auto & Ancillaries,36,8.3,4304.7,1434.9,False,Skipped — already 3 positions in Auto & Ancillaries (max 3)
SBIN,Core,Banking,36,3.6,4062.8,1015.7,False,Skipped — already 3 positions in Banking (max 3)
ANANTRAJ,Core,Diversified/Other,36,6.6,4868.0,608.5,False,Skipped — already 3 positions in Diversified/Other (max 3)
EICHERMOT,Core,Auto & Ancillaries,36,4.1,0.0,7822.0,False,Skipped — already 3 positions in Auto & Ancillaries (max 3)
GLAXO,Core,Diversified/Other,36,4.7,2633.6,2633.6,False,Skipped — already 3 positions in Diversified/Other (max 3)
SUMICHEM,Core,Diversified/Other,36,8.1,4920.5,492.05,False,Skipped — already 3 positions in Diversified/Other (max 3)
BEL,Core,Defense,36,4.1,4984.2,383.4,False,Skipped — would breach portfolio heat cap (6%)
COROMANDEL,Core,Diversified/Other,36,5.4,4060.0,2030.0,False,Skipped — already 3 positions in Diversified/Other (max 3)
ENRIN,Core,Diversified/Other,35,7.9,3099.0,3099.0,False,Skipped — already 3 positions in Diversified/Other (max 3)
HAVELLS,Core,Capital Goods,35,4.5,4939.2,1234.8,False,Skipped — would breach portfolio heat cap (6%)
ACUTAAS,Core,Diversified/Other,35,9.1,3221.4,3221.4,False,Skipped — already 3 positions in Diversified/Other (max 3)
TECHM,Core,IT Services,35,5.4,5015.7,1671.9,False,Skipped — would breach portfolio heat cap (6%)
HEG,Core,Metals & Mining,35,7.3,4718.35,674.05,False,Skipped — already 3 positions in Metals & Mining (max 3)
ASTRAL,Core,Chemicals & Paints,35,5.1,4466.1,1488.7,False,Skipped — would breach portfolio heat cap (6%)
SUZLON,Core,Renewables/Power,35,6.9,5060.87,46.43,False,Skipped — would breach portfolio heat cap (6%)
TATAELXSI,Core,IT Services,34,5.7,3679.1,3679.1,False,Skipped — would breach portfolio heat cap (6%)
SBICARD,Core,Diversified Financials,34,5.2,4620.0,660.0,False,Skipped — already 3 positions in Diversified Financials (max 3)
SJVN,Core,Renewables/Power,34,3.9,5080.1,68.65,False,Skipped — would breach portfolio heat cap (6%)
JUBLPHARMA,Core,Diversified/Other,33,5.2,3906.2,976.55,False,Skipped — already 3 positions in Diversified/Other (max 3)
RADICO,Core,Consumer/Retail,33,4.7,4474.9,4474.9,False,Skipped — already 3 positions in Consumer/Retail (max 3)
ZYDUSLIFE,Core,Pharma,33,4.2,4502.8,1125.7,False,Skipped — already 3 positions in Pharma (max 3)
CHENNPETRO,Core,Diversified/Other,33,9.3,3809.7,1269.9,False,Skipped — already 3 positions in Diversified/Other (max 3)
PHOENIXLTD,Core,Real Estate,33,5.8,3786.2,1893.1,False,Skipped — would breach portfolio heat cap (6%)
MAPMYINDIA,Core,Diversified/Other,32,9.2,4782.6,1195.65,False,Skipped — already 3 positions in Diversified/Other (max 3)
EIHOTEL,Core,Diversified/Other,32,5.6,4995.0,333.0,False,Skipped — already 3 positions in Diversified/Other (max 3)
AIIL,Core,Diversified/Other,32,8.4,4884.75,542.75,False,Skipped — already 3 positions in Diversified/Other (max 3)
ZYDUSWELL,Core,Diversified/Other,32,7.7,4622.4,577.8,False,Skipped — already 3 positions in Diversified/Other (max 3)
EIDPARRY,Core,Diversified/Other,31,5.2,4632.9,772.15,False,Skipped — already 3 positions in Diversified/Other (max 3)
TBOTEK,Core,Diversified/Other,31,6.8,4534.5,1511.5,False,Skipped — already 3 positions in Diversified/Other (max 3)
KFINTECH,Core,Capital Markets Infra,30,6.4,4667.75,933.55,False,Skipped — would breach portfolio heat cap (6%)
VMM,Core,Diversified/Other,30,5.7,4980.42,108.27,False,Skipped — already 3 positions in Diversified/Other (max 3)
MPHASIS,Core,IT Services,30,6.7,2404.4,2404.4,False,Skipped — would breach portfolio heat cap (6%)
VBL,Core,Consumer/Retail,29,5.9,4983.0,453.0,False,Skipped — already 3 positions in Consumer/Retail (max 3)
NUVOCO,Core,Diversified/Other,29,8.0,4929.4,352.1,False,Skipped — already 3 positions in Diversified/Other (max 3)
ANURAS,Core,Diversified/Other,29,4.5,4840.4,1210.1,False,Skipped — already 3 positions in Diversified/Other (max 3)
IREDA,Core,Diversified/Other,29,4.3,5037.48,119.94,False,Skipped — already 3 positions in Diversified/Other (max 3)
JYOTICNC,Core,Diversified/Other,29,6.8,4947.3,824.55,False,Skipped — already 3 positions in Diversified/Other (max 3)
SWIGGY,Core,New-Age Tech,28,7.7,4926.09,289.77,False,Skipped — would breach portfolio heat cap (6%)
INFY,Core,IT Services,28,5.6,4716.0,1179.0,False,Skipped — would breach portfolio heat cap (6%)
360ONE,Core,Diversified/Other,28,5.6,4606.0,1151.5,False,Skipped — already 3 positions in Diversified/Other (max 3)
INDUSTOWER,Core,Telecom,28,5.3,4703.4,391.95,False,Skipped — would breach portfolio heat cap (6%)
MAXHEALTH,Core,Hospitals,27,4.7,4475.2,1118.8,False,Skipped — would breach portfolio heat cap (6%)
FIVESTAR,Core,Housing Finance/NBFC,25,7.1,5007.15,556.35,False,Skipped — already 3 positions in Housing Finance/NBFC (max 3)
CHOICEIN,Core,Diversified/Other,25,4.5,4798.8,799.8,False,Skipped — already 3 positions in Diversified/Other (max 3)
COALINDIA,Core,Energy/PSU,25,3.9,4958.4,413.2,False,Skipped — would breach portfolio heat cap (6%)
TRITURBINE,Core,Diversified/Other,23,7.6,4860.4,607.55,False,Skipped — already 3 positions in Diversified/Other (max 3)
GODREJCP,Core,Consumer/Retail,19,4.5,4285.2,1071.3,False,Skipped — already 3 positions in Consumer/Retail (max 3)
