Symbol,Signal_Date,Mode,Entry,Target,Stop_Loss,Outcome,Gross_Return_%,Net_Return_%,Hold_Days
FORTIS,2020-02-25,swing,152.34,188.11,143.88,LOSS,-5.55,-5.85,90
GMRAIRPORT,2020-01-24,swing,21.53,26.6,20.4,LOSS,-5.25,-5.55,90
GMRAIRPORT,2020-02-25,swing,22.93,30.09,21.59,LOSS,-5.84,-6.14,90
GODFRYPHLP,2020-01-24,swing,409.59,537.87,385.69,LOSS,-5.84,-6.14,90
GODREJPROP,2020-02-25,swing,1103.1,1432.65,1039.84,LOSS,-5.73,-6.03,90
GRANULES,2020-02-25,swing,170.02,248.21,158.45,LOSS,-6.81,-7.11,90
GRANULES,2020-04-30,swing,165.46,241.9,149.29,WIN,46.2,45.9,90
GRANULES,2020-06-02,swing,167.86,247.9,156.0,WIN,47.68,47.38,90
GESHIP,2020-01-24,swing,269.82,327.28,255.03,LOSS,-5.48,-5.78,90
HDFCAMC,2020-02-25,swing,1443.57,1699.95,1383.63,LOSS,-4.15,-4.45,90
HDFCLIFE,2020-01-24,swing,604.56,675.37,584.21,LOSS,-3.37,-3.67,90
HAL,2020-01-24,swing,359.17,446.06,339.81,LOSS,-5.39,-5.69,90
HINDUNILVR,2020-02-25,swing,1981.53,2383.67,1916.6,LOSS,-3.28,-3.58,90
HINDUNILVR,2020-04-30,swing,1996.38,2524.31,1841.84,LOSS,-7.74,-8.04,90
HONAUT,2020-02-25,swing,33570.24,46647.42,31484.28,LOSS,-6.21,-6.51,90
ICICIBANK,2020-01-24,swing,510.38,605.34,495.89,LOSS,-2.84,-3.14,90
ICICIPRULI,2020-01-24,swing,501.95,549.64,485.78,LOSS,-3.22,-3.52,90
IRCON,2020-02-25,swing,45.75,68.51,42.46,LOSS,-7.19,-7.49,90
INDIACEM,2020-06-02,swing,125.74,196.2,115.49,LOSS,-8.15,-8.45,90
IGL,2020-01-24,swing,218.79,290.09,210.62,LOSS,-3.73,-4.03,90
IGL,2020-04-30,swing,212.23,326.61,195.81,LOSS,-7.74,-8.04,90
NAUKRI,2020-01-24,swing,507.18,554.72,485.07,WIN,9.37,9.07,90
NAUKRI,2020-02-25,swing,530.87,609.56,497.95,LOSS,-6.2,-6.5,90
IPCALAB,2020-01-24,swing,599.84,784.56,574.77,LOSS,-4.18,-4.48,90
IPCALAB,2020-02-25,swing,719.44,1017.89,668.64,LOSS,-7.06,-7.36,90
IPCALAB,2020-04-30,swing,781.79,1088.98,702.96,OPEN,28.35,28.05,90
IPCALAB,2020-06-02,swing,749.56,957.13,696.45,WIN,27.69,27.39,90
JBCHEPHARM,2020-02-25,swing,248.01,344.95,233.1,LOSS,-6.01,-6.31,90
JBCHEPHARM,2020-04-30,swing,269.86,357.75,245.73,WIN,32.57,32.27,90
JBCHEPHARM,2020-06-02,swing,324.74,494.96,301.5,WIN,52.42,52.12,90
JKCEMENT,2020-01-24,swing,1261.16,1536.39,1215.72,LOSS,-3.6,-3.9,90
JKCEMENT,2020-02-25,swing,1447.45,1961.22,1390.77,LOSS,-3.92,-4.22,90
JMFINANCIL,2020-02-25,swing,100.28,141.79,91.52,LOSS,-8.74,-9.04,90
JSWDULUX,2020-02-25,swing,1922.22,2468.81,1813.6,LOSS,-5.65,-5.95,90
JUBLFOOD,2020-01-24,swing,353.87,423.65,344.32,LOSS,-2.7,-3.0,90
JUBLFOOD,2020-02-25,swing,367.84,457.33,352.4,LOSS,-4.2,-4.5,90
KPRMILL,2020-01-24,swing,131.66,142.7,126.13,LOSS,-4.2,-4.5,90
KEI,2020-01-24,swing,515.42,648.89,484.23,LOSS,-6.05,-6.35,90
KOTAKBANK,2020-02-25,swing,334.25,361.96,324.14,LOSS,-3.02,-3.32,90
LAURUSLABS,2020-02-25,swing,84.91,114.62,79.73,LOSS,-6.1,-6.4,90
LAURUSLABS,2020-04-30,swing,100.69,159.1,91.82,LOSS,-8.81,-9.11,90
LAURUSLABS,2020-06-02,swing,90.85,134.5,84.51,WIN,48.05,47.75,90
LINDEINDIA,2020-01-24,swing,698.54,949.91,661.37,LOSS,-5.32,-5.62,90
LINDEINDIA,2020-02-25,swing,750.28,992.3,709.87,LOSS,-5.39,-5.69,90
LUPIN,2020-06-02,swing,822.0,1259.65,773.9,OPEN,21.52,21.22,90
MRF,2020-01-24,swing,69172.59,81564.29,67025.7,LOSS,-3.1,-3.4,90
MRF,2020-02-25,swing,68181.67,79086.99,65761.57,LOSS,-3.55,-3.85,90
MGL,2020-01-24,swing,999.06,1280.87,957.44,LOSS,-4.17,-4.47,90
MANAPPURAM,2020-01-24,swing,163.63,203.06,157.35,LOSS,-3.84,-4.14,90
MANAPPURAM,2020-02-25,swing,156.98,186.44,148.58,LOSS,-5.35,-5.65,90
MFSL,2020-02-25,swing,592.2,764.85,553.43,LOSS,-6.55,-6.85,90
MCX,2020-01-24,swing,257.89,336.87,245.96,LOSS,-4.63,-4.93,90
MCX,2020-02-25,swing,248.52,313.46,234.4,LOSS,-5.68,-5.98,90
MUTHOOTFIN,2020-01-24,swing,678.67,826.22,656.71,LOSS,-3.24,-3.54,90
MUTHOOTFIN,2020-02-25,swing,833.23,1188.58,789.9,LOSS,-5.2,-5.5,90
MUTHOOTFIN,2020-04-30,swing,753.83,1187.22,683.35,WIN,57.49,57.19,90
MUTHOOTFIN,2020-06-02,swing,809.8,1327.15,750.87,OPEN,32.84,32.54,90
NATCOPHARM,2020-01-24,swing,618.2,761.92,593.98,LOSS,-3.92,-4.22,90
NATCOPHARM,2020-02-25,swing,614.82,718.57,577.18,LOSS,-6.12,-6.42,90
NHPC,2020-01-24,swing,20.25,24.54,19.11,LOSS,-5.63,-5.93,90
NMDC,2020-01-24,swing,21.85,30.33,20.61,LOSS,-5.68,-5.98,90
NH,2020-01-24,swing,350.11,484.02,332.24,LOSS,-5.1,-5.4,90
NAVINFLUOR,2020-01-24,swing,1051.55,1386.61,1004.94,WIN,31.86,31.56,90
NAVINFLUOR,2020-02-25,swing,1184.24,1709.85,1108.28,LOSS,-6.41,-6.71,90
NAVINFLUOR,2020-04-30,swing,1570.64,2340.18,1419.21,LOSS,-9.64,-9.94,90
NAVINFLUOR,2020-06-02,swing,1541.63,2267.67,1441.24,LOSS,-6.51,-6.81,90
NESTLEIND,2020-01-24,swing,723.08,828.94,704.53,LOSS,-2.57,-2.87,90
NESTLEIND,2020-02-25,swing,759.74,918.17,736.65,LOSS,-3.04,-3.34,90
NESTLEIND,2020-04-30,swing,813.33,1130.37,758.89,LOSS,-6.69,-6.99,90
NESTLEIND,2020-06-02,swing,799.09,1094.77,760.17,LOSS,-4.87,-5.17,90
NAM-INDIA,2020-02-25,swing,354.25,478.12,332.33,LOSS,-6.19,-6.49,90
PIIND,2020-01-24,swing,1449.17,1583.77,1397.59,LOSS,-3.56,-3.86,90
PIIND,2020-02-25,swing,1517.05,1716.9,1454.5,LOSS,-4.12,-4.42,90
PVRINOX,2020-02-25,swing,2003.57,2464.14,1937.47,LOSS,-3.3,-3.6,90
PERSISTENT,2020-01-24,swing,347.12,446.25,333.34,LOSS,-3.97,-4.27,90
PERSISTENT,2020-02-25,swing,343.32,386.39,329.77,LOSS,-3.95,-4.25,90
PETRONET,2020-01-24,swing,208.73,222.64,202.78,LOSS,-2.85,-3.15,90
PFIZER,2020-04-30,swing,4305.64,5940.03,3993.19,LOSS,-7.26,-7.56,90
PHOENIXLTD,2020-01-24,swing,436.15,569.91,415.63,LOSS,-4.7,-5.0,90
PHOENIXLTD,2020-02-25,swing,429.23,517.86,407.31,LOSS,-5.11,-5.41,90
PIDILITIND,2020-01-24,swing,701.93,808.72,684.78,WIN,15.21,14.91,90
PIDILITIND,2020-02-25,swing,755.92,939.98,734.23,LOSS,-2.87,-3.17,90
PIDILITIND,2020-04-30,swing,740.86,961.9,685.58,LOSS,-7.46,-7.76,90
POLYMED,2020-01-24,swing,257.75,349.14,244.08,LOSS,-5.3,-5.6,90
POLYMED,2020-02-25,swing,321.72,502.72,294.55,LOSS,-8.45,-8.75,90
POLYMED,2020-06-02,swing,307.16,466.75,279.5,LOSS,-9.01,-9.31,90
PRESTIGE,2020-01-24,swing,393.03,558.55,363.42,LOSS,-7.53,-7.83,90
RITES,2020-01-24,swing,119.4,151.67,114.94,LOSS,-3.74,-4.04,90
RITES,2020-02-25,swing,121.65,157.28,114.92,LOSS,-5.53,-5.83,90
RADICO,2020-02-25,swing,412.48,594.27,386.33,LOSS,-6.34,-6.64,90
REDINGTON,2020-01-24,swing,46.25,52.63,43.06,LOSS,-6.9,-7.2,90
SBILIFE,2020-01-24,swing,974.07,1057.58,944.08,LOSS,-3.08,-3.38,90
SRF,2020-04-30,swing,718.41,1015.52,657.0,LOSS,-8.55,-8.85,90
SCI,2020-01-24,swing,56.89,63.75,53.82,LOSS,-5.4,-5.7,90
SHREECEM,2020-01-24,swing,22509.17,27698.73,21726.75,LOSS,-3.48,-3.78,90
SHRIRAMFIN,2020-02-25,swing,234.6,326.19,221.65,LOSS,-5.52,-5.82,90
SIEMENS,2020-01-24,swing,897.79,998.15,870.2,LOSS,-3.07,-3.37,90
SUNPHARMA,2020-06-02,swing,437.15,635.67,408.91,OPEN,10.17,9.87,90
SUPREMEIND,2020-01-24,swing,1240.58,1540.26,1195.81,LOSS,-3.61,-3.91,90
SUPREMEIND,2020-02-25,swing,1303.06,1696.47,1258.58,LOSS,-3.41,-3.71,90
SWANCORP,2020-02-25,swing,136.42,189.83,122.96,LOSS,-9.87,-10.17,90
TATACHEM,2020-01-24,swing,296.3,380.77,287.2,LOSS,-3.07,-3.37,90
TATACHEM,2020-02-25,swing,292.92,354.83,282.93,LOSS,-3.41,-3.71,90
TATACOMM,2020-01-24,swing,417.61,558.49,391.65,LOSS,-6.22,-6.52,90
TATACONSUM,2020-01-24,swing,372.44,519.83,357.22,LOSS,-4.09,-4.39,90
TATACONSUM,2020-02-25,swing,349.57,430.55,333.4,LOSS,-4.63,-4.93,90
TECHM,2020-02-25,swing,632.05,718.93,614.38,LOSS,-2.8,-3.1,90
TECHNOE,2020-01-24,swing,274.45,323.33,260.06,LOSS,-5.24,-5.54,90
TECHNOE,2020-02-25,swing,279.21,321.93,263.54,LOSS,-5.61,-5.91,90
TIMKEN,2020-01-24,swing,901.66,1114.34,864.56,LOSS,-4.11,-4.41,90
TIMKEN,2020-02-25,swing,953.88,1244.9,898.33,LOSS,-5.82,-6.12,90
TORNTPHARM,2020-01-24,swing,924.15,1135.91,891.61,LOSS,-3.52,-3.82,90
TORNTPHARM,2020-02-25,swing,992.96,1234.88,952.49,LOSS,-4.08,-4.38,90
TORNTPHARM,2020-04-30,swing,1125.17,1577.2,1020.35,OPEN,14.96,14.66,90
TORNTPHARM,2020-06-02,swing,1081.77,1468.71,1003.58,OPEN,20.83,20.53,90
TORNTPOWER,2020-01-24,swing,268.97,331.32,259.39,LOSS,-3.56,-3.86,90
TORNTPOWER,2020-02-25,swing,270.6,335.39,256.86,LOSS,-5.08,-5.38,90
TORNTPOWER,2020-04-30,swing,281.32,376.89,262.98,LOSS,-6.52,-6.82,90
TORNTPOWER,2020-06-02,swing,280.15,373.95,262.94,OPEN,-4.3,-4.6,90
TRENT,2020-01-24,swing,585.89,729.82,558.04,WIN,24.57,24.27,90
TRENT,2020-02-25,swing,791.07,1236.97,740.17,LOSS,-6.43,-6.73,90
TIINDIA,2020-01-24,swing,511.49,733.15,490.57,LOSS,-4.09,-4.39,90
TIINDIA,2020-02-25,swing,535.69,646.01,504.18,LOSS,-5.88,-6.18,90
UNOMINDA,2020-02-25,swing,186.63,218.04,177.65,LOSS,-4.81,-5.11,90
UNITDSPR,2020-02-25,swing,682.96,884.9,650.7,LOSS,-4.72,-5.02,90
VBL,2020-01-24,swing,73.04,101.57,69.86,LOSS,-4.35,-4.65,90
VBL,2020-02-25,swing,70.62,86.26,66.39,LOSS,-5.99,-6.29,90
VOLTAS,2020-01-24,swing,688.91,782.86,667.76,LOSS,-3.07,-3.37,90
VOLTAS,2020-02-25,swing,693.11,793.36,664.39,LOSS,-4.14,-4.44,90
WELCORP,2020-02-25,swing,182.77,286.95,170.56,LOSS,-6.68,-6.98,90
WHIRLPOOL,2020-01-24,swing,2363.44,2915.56,2250.13,LOSS,-4.79,-5.09,90
ZYDUSLIFE,2020-03-26,swing,254.33,312.6,225.2,WIN,22.91,22.61,90
ZYDUSLIFE,2020-04-30,swing,315.1,449.21,287.76,OPEN,13.37,13.07,90
ZYDUSLIFE,2020-06-02,swing,337.13,504.31,317.81,OPEN,18.11,17.81,90
